k,z,c,l
1.000000000000000056e-01,8.000000000000000444e-01,2.195465149105373381e-01,9.775887175485741265e-01
2.460563047398331149e-01,8.144094193859827691e-01,3.072485056465217856e-01,9.649804434609369208e-01
4.207449816417409560e-01,8.278952006817750231e-01,3.828330321556632776e-01,9.518235210510721522e-01
6.026628979015978826e-01,8.404992607366231772e-01,4.481546147645227296e-01,9.406304785136495594e-01
7.809856135300404789e-01,8.522644020670798737e-01,5.050099245959879246e-01,9.315137502681670734e-01
9.505477010593355036e-01,8.632337287710256657e-01,5.548425649518033964e-01,9.241377622813778947e-01
1.109106290346318024e+00,8.734501604299528266e-01,5.987863941004332169e-01,9.181471546317471200e-01
1.255949845511312724e+00,8.829560336016366584e-01,6.377387256322397668e-01,9.132484265461799922e-01
1.391174854345706091e+00,8.917927807614020042e-01,6.724192711480376783e-01,9.092135175121561774e-01
1.515297042257829130e+00,9.000006770348893959e-01,7.034130470904320642e-01,9.058679945296441716e-01
1.629037123682580024e+00,9.076186457000231522e-01,7.312012213780965109e-01,9.030786326476214487e-01
1.733201414882090230e+00,9.146841141593272662e-01,7.561835173730934168e-01,9.007433955700837602e-01
1.828615798146477456e+00,9.212329128488546681e-01,7.786947455626755943e-01,8.987839278394560427e-01
1.916090512817864466e+00,9.272992103218505866e-01,7.990171954515628006e-01,8.971400700091813896e-01
1.996403138987449921e+00,9.329154784987075955e-01,8.173900495371873021e-01,8.957658914231289016e-01
1.000000000000000056e-01,8.081632653061224802e-01,2.215498793734761163e-01,9.780391616014052492e-01
2.479925915703593553e-01,8.220517863684414506e-01,3.105455326376257430e-01,9.654692330062240035e-01
4.253902020404748408e-01,8.350399302422908399e-01,3.870993669295710315e-01,9.522437619820407484e-01
6.101413556901689184e-01,8.471701865736274151e-01,4.531229345590906399e-01,9.409657633317779490e-01
7.910984023174587598e-01,8.584855917933597036e-01,5.104698065725795653e-01,9.317694219621901475e-01
9.629550363983103711e-01,8.690292010395743727e-01,5.606285379506352751e-01,9.243237968878743605e-01
1.123420336526502306e+00,8.788436522466064327e-01,6.047677529586017453e-01,9.182737412961853307e-01
1.271781868425866158e+00,8.879708121125667875e-01,6.438119626993229483e-01,9.133248077145943444e-01
1.408158809752060092e+00,8.964514940514805019e-01,6.785024869998403929e-01,9.092477406227835734e-01
1.533100567279339632e+00,9.043252388132351216e-01,7.094417430623056742e-01,9.058669287778200463e-01
1.647365601965487425e+00,9.116301491454346095e-01,7.371250605744511519e-01,9.030480566683726229e-01
1.751798181373407148e+00,9.184027706229341836e-01,7.619637814920814378e-01,9.006880942996632333e-01
1.847260202473695267e+00,9.246780115433481662e-01,7.843023066603715954e-01,8.987077785269347308e-01
1.934594828650727960e+00,9.304890955509481643e-01,8.044308801189086200e-01,8.970461110225533830e-01
2.014608891878372887e+00,9.358675413865557013e-01,8.225953104269302374e-01,8.956563719084315034e-01
1.000000000000000056e-01,8.163265306122449161e-01,2.235531228618222732e-01,9.784814942458784914e-01
2.499292175074376843e-01,8.296879800862191345e-01,3.138468755474530525e-01,9.659524518166727747e-01
4.300467721519367625e-01,8.421735830389133204e-01,3.913717342305780278e-01,9.526600757480230275e-01
6.176444223431289959e-01,8.538262160993975725e-01,4.580970353253682181e-01,9.412982580157810419e-01
8.012469634587322531e-01,8.646889847260940121e-01,5.159340091365685055e-01,9.320231254133166665e-01
9.754056316436607865e-01,8.748047498258305632e-01,5.664166892703744738e-01,9.245084688869722456e-01
1.137781215001636648e+00,8.842157405408517246e-01,6.107488169644622600e-01,9.183994165705108292e-01
1.287660746907262066e+00,8.929632431173073481e-01,6.498823337984110937e-01,9.134006165345670558e-01
1.425186702716938258e+00,9.010873562784448287e-01,6.845803213615222482e-01,9.092816483935766136e-01
1.550942838866438356e+00,9.086268041760739989e-01,7.154626965435876285e-01,9.058657448104751042e-01
1.665726002080647694e+00,9.156187987255748340e-01,7.430390114749318986e-01,9.030175164133977805e-01
1.770418980116186036e+00,9.220989438976070485e-01,7.677322602478164892e-01,9.006329524488242422e-01
1.865920167902614279e+00,9.281011753102896833e-01,7.898964482536893206e-01,8.986318924456726531e-01
1.953106049450692883e+00,9.336577292149988994e-01,8.098297744456717240e-01,8.969525078419394726e-01
2.032813025025002052e+00,9.387991356806859589e-01,8.277846640133591505e-01,8.955472971343095834e-01
1.000000000000000056e-01,8.244897959183673519e-01,2.255562460501934485e-01,9.789159381117646941e-01
2.518661774228344585e-01,8.373180671861447655e-01,3.171524976544995433e-01,9.664302336912838909e-01
4.347146290890088194e-01,8.492962867593791820e-01,3.956500786459049013e-01,9.530725499763202935e-01
6.251719721341308933e-01,8.604675310492835294e-01,4.630768593455637516e-01,9.416280213971979229e-01
8.114311151232509456e-01,8.708748089901774403e-01,5.214024856892963689e-01,9.322749002530025253e-01
9.878992631409413416e-01,8.805606418414908543e-01,5.722069934062982144e-01,9.246918047593606360e-01
1.152188679269015248e+00,8.895667230254307167e-01,6.167295884807397766e-01,9.185241978088414250e-01
1.303586232645330023e+00,8.979336482004770525e-01,6.559498732189782411e-01,9.134758639666091806e-01
1.442258304101722066e+00,9.057007063733448771e-01,6.906528423109969950e-01,9.093152472561889521e-01
1.568823666428867947e+00,9.129057235575862572e-01,7.214760095415171381e-01,9.058644457941024131e-01
1.684118188761348778e+00,9.195849512451308438e-01,7.489432088537080201e-01,9.029870126226816618e-01
1.789063744787962262e+00,9.257729927299436223e-01,7.734891190718270471e-01,9.005779688621178281e-01
1.884595707309166590e+00,9.315027610831323468e-01,7.954773636735369413e-01,8.985562668458330071e-01
1.971624274207942618e+00,9.368054633070811432e-01,8.152140965034224696e-01,8.968592562432580184e-01
2.051015727289590362e+00,9.417106058798832002e-01,8.329583497527266456e-01,8.954386613698177566e-01
1.000000000000000056e-01,8.326530612244897878e-01,2.275592495522975323e-01,9.793427078134802066e-01
2.538034664268232765e-01,8.449421129429952604e-01,3.204623628464481344e-01,9.669027077758484134e-01
4.393937110065520013e-01,8.564081663707066028e-01,3.999343457388053746e-01,9.534812693423539987e-01
6.327238812626099218e-01,8.670943091658807056e-01,4.680623499655475195e-01,9.419551103814262083e-01
8.216506782180932333e-01,8.770432875596002598e-01,5.268751905221927823e-01,9.325247848461035716e-01
1.000435710591913496e+00,8.862971376266987056e-01,5.779994253487736877e-01,9.248738301546429730e-01
1.166642486515125032e+00,8.948968903708618416e-01,6.227100697981110544e-01,9.186481018254230024e-01
1.319558081008092909e+00,9.028823411875039895e-01,6.620146144891881912e-01,9.135505606277932733e-01
1.459373388064977961e+00,9.102918749419074418e-01,6.967201163997622793e-01,9.093485434328134609e-01
1.586742861924485437e+00,9.171623386437337544e-01,7.274817817364622741e-01,9.058630347789065063e-01
1.702542028196035062e+00,9.235289544701307252e-01,7.548377843562059653e-01,9.029565459870434463e-01
1.807732409124957806e+00,9.294252666571808374e-01,7.792345194909116035e-01,9.005231423862684048e-01
1.903286831979013494e+00,9.348831165213274952e-01,8.010452416169501211e-01,8.984808990226970105e-01
1.990149598477936044e+00,9.399326405737897794e-01,8.205840590627007103e-01,8.967663520877279248e-01
2.069217182119106546e+00,9.446022873425394817e-01,8.381166012049814373e-01,8.953304590114050665e-01
1.000000000000000056e-01,8.408163265306123346e-01,2.295621339246917691e-01,9.797620103063694463e-01
2.557410798561369214e-01,8.525601813009121566e-01,3.237764356051729409e-01,9.673699987710353554e-01
4.440839570724552932e-01,8.635093442032559796e-01,4.042244820228522717e-01,9.538863156998748094e-01
6.403000278050035021e-01,8.737067243249990733e-01,4.730534515658484374e-01,9.422795800313183978e-01
8.319054763199581481e-01,8.831946384230461300e-01,5.323520787919572284e-01,9.327728163450491605e-01
1.013014756971285291e+00,8.920144917518629812e-01,5.837939605694942857e-01,9.250545699264912658e-01
1.181142397524235443e+00,9.002065264393046551e-01,6.286902631382821349e-01,9.187711449173485700e-01
1.335576050951355009e+00,9.078096284059201659e-01,6.680765904003014288e-01,9.136247168062756607e-01
1.476531731983434570e+00,9.148611845484683203e-01,7.027822087017895347e-01,9.093815429452409838e-01
1.604700239802486772e+00,9.213969826740663338e-01,7.334801105571729929e-01,9.058615147041468862e-01
1.720997388004394502e+00,9.274511474430504610e-01,7.607228666014630436e-01,9.029261171508597972e-01
1.826424906940868231e+00,9.330561063313269621e-01,7.849686192563403164e-01,9.004684718709307090e-01
1.921993551677680934e+00,9.382425803395783026e-01,8.066002663020895858e-01,8.984057863157952628e-01
2.008682114510064398e+00,9.430395948461235411e-01,8.259398697721265226e-01,8.966737913194794407e-01
2.087417567737921420e+00,9.474745066161184281e-01,8.432596462348620481e-01,8.952226845789238441e-01
1.000000000000000056e-01,8.489795918367347705e-01,2.315648996703048301e-01,9.801740452241659574e-01
2.576790132625937368e-01,8.601723349131782381e-01,3.270946809922190557e-01,9.678322271292122414e-01
4.487853074398071018e-01,8.705999400314012870e-01,4.085204349371175381e-01,9.542877682041478460e-01
6.479002916676798174e-01,8.803049466564730752e-01,4.780501095336937567e-01,9.426014836463133539e-01
8.421953356094262766e-01,8.893290747426135789e-01,5.378331064966489494e-01,9.330190307411506678e-01
1.025636188446292563e+00,8.977129530109837496e-01,5.895905750082127694e-01,9.252340481659556692e-01
1.195688176590103291e+00,9.054959085084660630e-01,6.346701706569076729e-01,9.188933428860911468e-01
1.351639904931347003e+00,9.127158089354102666e-01,6.741358330300702972e-01,9.136983424750566574e-01
1.493733116375570047e+00,9.194089499875640614e-01,7.088391828603926026e-01,9.094142516234365869e-01
1.622695616948354180e+00,9.256099807302946569e-01,7.394710912528990043e-01,9.058598884031876519e-01
1.739484137213860082e+00,9.313518607839915697e-01,7.665985812801739963e-01,9.028957267146263677e-01
1.845141172144349806e+00,9.366658438288575361e-01,7.906915724675738222e-01,9.004139561693784710e-01
1.940715874717298561e+00,9.415814826223303236e-01,8.121426176166065547e-01,8.983309261080473229e-01
2.027221911370481244e+00,9.461266513554432711e-01,8.312817313297915511e-01,8.965815699632481151e-01
2.105617057331969022e+00,9.503275817516706470e-01,8.483877072042570466e-01,8.951153327117963299e-01
1.000000000000000056e-01,8.571428571428572063e-01,2.335675472417487464e-01,9.805790051987919309e-01
2.596172624023704301e-01,8.677786351804350762e-01,3.304170646347524554e-01,9.682895092407034499e-01
4.534977032201510938e-01,8.776800711509842312e-01,4.128221528222199566e-01,9.546857034285556320e-01
6.555245545415142594e-01,8.868891426600740147e-01,4.830522702360537934e-01,9.429208728373816850e-01
8.525200848074661053e-01,8.954468050060073736e-01,5.433182304526527062e-01,9.332634629132184889e-01
1.038299794299011980e+00,9.033927646069218609e-01,5.953892450599576058e-01,9.254122882330423350e-01
